Employee ID,Date,Check-in Time,Check-out Time
EMP0009,2026-08-03,09:00:00,18:00:00
EMP0009,2026-08-04,09:00:00,18:00:00
EMP0009,2026-08-05,09:00:00,18:00:00
EMP0009,2026-08-06,09:00:00,18:00:00
EMP0009,2026-08-07,09:00:00,18:00:00
EMP0009,2026-08-10,09:00:00,18:00:00
EMP0009,2026-08-11,09:00:00,18:00:00
EMP0009,2026-08-12,09:00:00,18:00:00
EMP0009,2026-08-13,09:00:00,18:00:00
EMP0009,2026-08-14,09:00:00,18:00:00
EMP0009,2026-08-17,09:00:00,18:00:00
EMP0009,2026-08-18,09:00:00,18:00:00
EMP0009,2026-08-19,09:00:00,18:00:00
EMP0009,2026-08-20,09:00:00,18:00:00
EMP0009,2026-08-21,09:00:00,18:00:00
EMP0009,2026-08-24,09:00:00,18:00:00
EMP0009,2026-08-25,09:00:00,18:00:00
EMP0009,2026-08-26,09:00:00,18:00:00
EMP0009,2026-08-27,09:00:00,18:00:00
EMP0009,2026-08-28,09:00:00,18:00:00
EMP0009,2026-08-31,09:00:00,18:00:00
EMP0001,2026-08-03,09:00:00,18:00:00
EMP0001,2026-08-04,09:00:00,18:00:00
EMP0001,2026-08-05,09:00:00,18:00:00
EMP0001,2026-08-06,09:00:00,18:00:00
EMP0001,2026-08-07,09:00:00,18:00:00
EMP0001,2026-08-10,09:00:00,18:00:00
EMP0001,2026-08-11,09:00:00,18:00:00
EMP0001,2026-08-12,09:00:00,18:00:00
EMP0001,2026-08-13,09:00:00,18:00:00
EMP0001,2026-08-14,09:00:00,18:00:00
EMP0001,2026-08-17,09:00:00,18:00:00
EMP0001,2026-08-18,09:00:00,18:00:00
EMP0001,2026-08-19,09:00:00,18:00:00
EMP0001,2026-08-20,09:00:00,18:00:00
EMP0001,2026-08-21,09:00:00,18:00:00
EMP0001,2026-08-24,09:00:00,18:00:00
EMP0001,2026-08-25,09:00:00,18:00:00
EMP0001,2026-08-26,09:00:00,18:00:00
EMP0001,2026-08-27,09:00:00,18:00:00
EMP0001,2026-08-28,09:00:00,18:00:00
EMP0001,2026-08-31,09:00:00,18:00:00
EMP0010,2026-08-03,09:00:00,18:00:00
EMP0010,2026-08-04,09:00:00,18:00:00
EMP0010,2026-08-05,09:00:00,18:00:00
EMP0010,2026-08-06,09:00:00,18:00:00
EMP0010,2026-08-07,09:00:00,18:00:00
EMP0010,2026-08-10,09:00:00,18:00:00
EMP0010,2026-08-11,09:00:00,18:00:00
EMP0010,2026-08-12,09:00:00,18:00:00
EMP0010,2026-08-13,09:00:00,18:00:00
EMP0010,2026-08-14,09:00:00,18:00:00
EMP0010,2026-08-17,09:00:00,18:00:00
EMP0010,2026-08-18,09:00:00,18:00:00
EMP0010,2026-08-19,09:00:00,18:00:00
